,SalesOrderCreationDate,OrderQuantity,PlantKey,CustomerKey,MaterialKey,RequestedDeliveryDate,DeliveryDate,HighOrderQtyFlag,Delay,Season
76788,2022-06-12,17,6,854,1,2022-06-13,2022-06-22,0,9,Spring2022
33108,2022-06-12,21,6,1213,2,2022-07-04,2022-07-18,0,14,Spring2022
6405,2022-06-13,18,8,877,1,2022-07-07,2022-07-21,0,14,Spring2022
72483,2022-06-13,15,5,865,2,2022-06-27,2022-07-05,0,8,Spring2022
29781,2022-06-13,15,8,595,1,2022-07-08,2022-07-12,0,4,Spring2022
52361,2022-06-13,20,4,302,1,2022-08-01,2022-08-03,0,2,Spring2022
33717,2022-06-13,19,4,100,1,2022-07-20,2022-08-03,0,14,Spring2022
43829,2022-06-13,23,8,663,1,2022-07-29,2022-08-08,0,10,Spring2022
72721,2022-06-13,18,4,116,1,2022-06-30,2022-07-06,0,6,Spring2022
52708,2022-06-13,18,5,784,1,2022-07-27,2022-08-05,0,9,Spring2022
47955,2022-06-13,19,6,995,2,2022-06-27,2022-07-05,0,8,Spring2022
30947,2022-06-13,16,4,370,1,2022-07-04,2022-07-15,0,11,Spring2022
6441,2022-06-13,12,4,92,1,2022-07-13,2022-07-19,0,6,Spring2022
89482,2022-06-13,20,4,282,1,2022-07-07,2022-07-14,0,7,Spring2022
13714,2022-06-14,14,4,472,1,2022-07-05,2022-07-07,0,2,Spring2022
90556,2022-06-14,20,8,1151,1,2022-06-13,2022-06-14,0,1,Spring2022
27902,2022-06-14,15,6,1156,2,2022-07-01,2022-07-15,0,14,Spring2022
93950,2022-06-14,13,8,510,1,2022-07-11,2022-07-13,0,2,Spring2022
55771,2022-06-14,20,5,972,1,2022-07-15,2022-07-28,0,13,Spring2022
65098,2022-06-14,14,5,1201,1,2022-06-28,2022-07-05,0,7,Spring2022
46674,2022-06-14,18,4,16,1,2022-07-18,2022-07-19,0,1,Spring2022
25204,2022-06-14,21,4,187,2,2022-07-15,2022-07-25,0,10,Spring2022
20101,2022-06-14,17,6,1093,2,2022-07-05,2022-07-07,0,2,Spring2022
46287,2022-06-14,18,4,447,1,2022-07-21,2022-08-03,0,13,Spring2022
50383,2022-06-14,20,5,567,1,2022-06-22,2022-06-24,0,2,Spring2022
38305,2022-06-14,16,4,265,1,2022-07-11,2022-07-12,0,1,Spring2022
41847,2022-06-14,20,4,202,2,2022-07-25,2022-08-01,0,7,Spring2022
43120,2022-06-14,13,4,319,1,2022-07-18,2022-07-19,0,1,Spring2022
54185,2022-06-14,18,4,73,2,2022-07-04,2022-07-08,0,4,Spring2022
37954,2022-06-14,16,8,1133,1,2022-07-07,2022-07-12,0,5,Spring2022
56954,2022-06-14,18,8,682,2,2022-07-04,2022-07-08,0,4,Spring2022
60529,2022-06-14,15,4,163,1,2022-07-21,2022-07-26,0,5,Spring2022
31653,2022-06-15,15,4,452,1,2022-07-08,2022-07-19,0,11,Spring2022
63503,2022-06-15,17,5,1083,1,2022-07-15,2022-07-27,0,12,Spring2022
6162,2022-06-15,20,5,545,1,2022-07-22,2022-08-02,0,11,Spring2022
55529,2022-06-15,25,8,673,1,2022-07-07,2022-07-15,0,8,Spring2022
23896,2022-06-15,19,4,410,1,2022-07-18,2022-07-21,0,3,Spring2022
95018,2022-06-15,11,4,389,1,2022-07-19,2022-07-26,0,7,Spring2022
77568,2022-06-15,20,5,750,2,2022-06-30,2022-07-11,0,11,Spring2022
49282,2022-06-15,19,8,556,1,2022-07-11,2022-07-13,0,2,Spring2022
35232,2022-06-15,21,4,243,1,2022-07-08,2022-07-14,0,6,Spring2022
91249,2022-06-15,17,4,306,1,2022-07-07,2022-07-18,0,11,Spring2022
77224,2022-06-15,19,5,1049,2,2022-06-29,2022-07-05,0,6,Spring2022
14609,2022-06-15,20,8,769,1,2022-07-19,2022-07-25,0,6,Spring2022
20876,2022-06-15,14,8,950,1,2022-07-14,2022-07-25,0,11,Spring2022
49054,2022-06-15,12,5,1024,1,2022-07-20,2022-08-02,0,13,Spring2022
32558,2022-06-16,25,6,797,1,2022-07-26,2022-08-08,0,13,Spring2022
63209,2022-06-16,19,5,1199,1,2022-07-11,2022-07-14,0,3,Spring2022
15744,2022-06-16,24,5,969,1,2022-07-20,2022-07-29,0,9,Spring2022
2533,2022-06-16,16,4,10,2,2022-07-25,2022-08-08,0,14,Spring2022
21489,2022-06-16,17,4,363,1,2022-07-25,2022-08-02,0,8,Spring2022
41233,2022-06-16,19,6,557,1,2022-07-18,2022-07-27,0,9,Spring2022
44701,2022-06-16,20,6,949,1,2022-07-15,2022-07-19,0,4,Spring2022
71444,2022-06-16,15,8,1025,2,2022-07-08,2022-07-18,0,10,Spring2022
12110,2022-06-16,18,5,1067,1,2022-07-14,2022-07-20,0,6,Spring2022
97057,2022-06-16,13,5,1042,1,2022-07-27,2022-08-09,0,13,Spring2022
40455,2022-06-16,13,8,694,2,2022-07-04,2022-07-07,0,3,Spring2022
18564,2022-06-16,19,6,655,1,2022-07-12,2022-07-21,0,9,Spring2022
63717,2022-06-16,20,6,947,2,2022-07-21,2022-07-22,0,1,Spring2022
66189,2022-06-16,21,4,129,1,2022-07-11,2022-07-12,0,1,Spring2022
73658,2022-06-16,15,4,356,1,2022-07-19,2022-07-20,0,1,Spring2022
53369,2022-06-16,21,8,1133,1,2022-07-13,2022-07-22,0,9,Spring2022
44834,2022-06-16,20,4,187,1,2022-07-21,2022-07-27,0,6,Spring2022
67994,2022-06-16,22,4,357,1,2022-08-02,2022-08-11,0,9,Spring2022
50404,2022-06-16,17,4,450,1,2022-07-07,2022-07-18,0,11,Spring2022
4758,2022-06-16,18,8,686,2,2022-07-22,2022-08-05,0,14,Spring2022
42870,2022-06-17,17,6,878,2,2022-07-13,2022-07-27,0,14,Spring2022
3285,2022-06-17,19,4,140,1,2022-07-06,2022-07-18,0,12,Spring2022
91652,2022-06-17,16,6,876,2,2022-07-26,2022-08-05,0,10,Spring2022
24841,2022-06-17,19,4,30,1,2022-07-18,2022-07-22,0,4,Spring2022
99629,2022-06-17,12,4,450,2,2022-07-08,2022-07-19,0,11,Spring2022
23130,2022-06-17,18,8,711,2,2022-07-07,2022-07-18,0,11,Spring2022
91940,2022-06-17,21,5,1139,1,2022-07-25,2022-08-08,0,14,Spring2022
88845,2022-06-17,19,6,496,1,2022-07-18,2022-07-22,0,4,Spring2022
41181,2022-06-17,20,4,272,1,2022-07-25,2022-08-03,0,9,Spring2022
30090,2022-06-17,19,4,41,1,2022-07-22,2022-08-02,0,11,Spring2022
22745,2022-06-17,16,5,985,1,2022-07-08,2022-07-12,0,4,Spring2022
50155,2022-06-17,19,4,1063,2,2022-07-08,2022-07-11,0,3,Spring2022
24336,2022-06-17,19,5,1113,1,2022-07-13,2022-07-21,0,8,Spring2022
76887,2022-06-17,17,4,235,1,2022-07-08,2022-07-21,0,13,Spring2022
55734,2022-06-17,23,4,457,1,2022-07-12,2022-07-13,0,1,Spring2022
12912,2022-06-17,20,4,50,1,2022-07-14,2022-07-20,0,6,Spring2022
73911,2022-06-17,22,4,270,1,2022-07-14,2022-07-27,0,13,Spring2022
3506,2022-06-17,19,4,196,1,2022-07-26,2022-08-05,0,10,Spring2022
40374,2022-06-18,18,4,26,1,2022-07-07,2022-07-18,0,11,Spring2022
91142,2022-06-18,13,4,375,1,2022-07-21,2022-07-25,0,4,Spring2022
3586,2022-06-18,21,6,627,1,2022-07-20,2022-08-01,0,12,Spring2022
38953,2022-06-18,13,6,822,1,2022-06-28,2022-07-05,0,7,Spring2022
15305,2022-06-18,18,6,1093,1,2022-08-04,2022-08-12,0,8,Spring2022
73790,2022-06-18,18,8,897,1,2022-07-25,2022-07-27,0,2,Spring2022
24243,2022-06-18,16,6,918,1,2022-07-15,2022-07-22,0,7,Spring2022
91207,2022-06-18,17,4,240,1,2022-08-01,2022-08-11,0,10,Spring2022
28195,2022-06-18,19,4,480,1,2022-07-07,2022-07-14,0,7,Spring2022
89504,2022-06-18,21,4,434,1,2022-07-29,2022-08-08,0,10,Spring2022
27727,2022-06-18,12,5,1057,1,2022-07-22,2022-07-27,0,5,Spring2022
60288,2022-06-18,22,4,524,1,2022-07-21,2022-08-01,0,11,Spring2022
69689,2022-06-18,14,4,444,1,2022-07-20,2022-08-02,0,13,Spring2022
29275,2022-06-18,17,5,501,2,2022-08-11,2022-08-12,0,1,Spring2022
96434,2022-06-18,16,8,1212,2,2022-07-22,2022-07-28,0,6,Spring2022
62218,2022-06-18,19,5,1113,1,2022-06-20,2022-06-30,0,10,Spring2022
75771,2022-06-18,18,4,36,1,2022-07-18,2022-08-01,0,14,Spring2022
6015,2022-06-18,19,5,767,1,2022-07-26,2022-07-27,0,1,Spring2022
9354,2022-06-19,16,4,382,1,2022-07-19,2022-07-20,0,1,Spring2022
35654,2022-06-19,15,5,546,1,2022-07-28,2022-07-29,0,1,Spring2022
94298,2022-06-19,19,4,133,1,2022-07-08,2022-07-12,0,4,Spring2022
37028,2022-06-19,16,5,784,2,2022-07-19,2022-07-26,0,7,Spring2022
61788,2022-06-19,17,5,1215,1,2022-07-21,2022-07-28,0,7,Spring2022
61778,2022-06-19,19,4,194,1,2022-07-26,2022-08-01,0,6,Spring2022
88735,2022-06-19,12,6,1052,1,2022-07-27,2022-08-09,0,13,Spring2022
85614,2022-06-19,15,6,822,1,2022-07-08,2022-07-11,0,3,Spring2022
68666,2022-06-19,20,5,976,1,2022-07-19,2022-07-20,0,1,Spring2022
68389,2022-06-19,19,5,833,2,2022-07-21,2022-08-04,0,14,Spring2022
70021,2022-06-19,19,4,240,2,2022-07-04,2022-07-14,0,10,Spring2022
55575,2022-06-19,20,6,1134,2,2022-07-28,2022-08-08,0,11,Spring2022
13504,2022-06-19,18,6,1094,1,2022-07-19,2022-07-25,0,6,Spring2022
7886,2022-06-19,17,6,616,1,2022-06-27,2022-07-05,0,8,Spring2022
79855,2022-06-19,16,5,1092,1,2022-07-06,2022-07-07,0,1,Spring2022
53708,2022-06-19,17,4,304,1,2022-07-13,2022-07-27,0,14,Spring2022
35179,2022-06-20,17,4,490,1,2022-07-08,2022-07-11,0,3,Spring2022
45134,2022-06-20,14,4,398,1,2022-07-20,2022-07-21,0,1,Spring2022
47642,2022-06-20,21,6,715,1,2022-07-20,2022-07-22,0,2,Spring2022
95578,2022-06-20,19,4,273,2,2022-07-14,2022-07-25,0,11,Spring2022
49331,2022-06-20,20,8,873,2,2022-07-18,2022-07-22,0,4,Spring2022
16892,2022-06-20,20,8,897,2,2022-07-27,2022-08-01,0,5,Spring2022
11074,2022-06-20,23,6,707,1,2022-07-08,2022-07-18,0,10,Spring2022
54980,2022-06-20,19,4,274,1,2022-07-18,2022-07-22,0,4,Spring2022
33250,2022-06-20,12,8,684,1,2022-07-15,2022-07-26,0,11,Spring2022
23775,2022-06-20,17,6,523,1,2022-07-18,2022-07-25,0,7,Spring2022
83272,2022-06-20,21,4,33,1,2022-07-20,2022-07-25,0,5,Spring2022
74332,2022-06-20,19,5,505,1,2022-08-04,2022-08-10,0,6,Spring2022
73038,2022-06-20,17,6,810,1,2022-07-14,2022-07-15,0,1,Spring2022
41907,2022-06-20,17,4,274,1,2022-07-14,2022-07-21,0,7,Spring2022
12136,2022-06-20,17,4,317,1,2022-07-28,2022-08-11,0,14,Spring2022
21860,2022-06-21,17,4,350,1,2022-07-05,2022-07-12,0,7,Summer2022
35546,2022-06-21,21,4,76,1,2022-07-04,2022-07-11,0,7,Summer2022
23153,2022-06-21,19,8,1211,1,2022-07-11,2022-07-20,0,9,Summer2022
73769,2022-06-21,19,6,1197,2,2022-07-14,2022-07-15,0,1,Summer2022
96433,2022-06-21,18,4,62,1,2022-07-27,2022-08-02,0,6,Summer2022
51787,2022-06-21,19,5,1081,1,2022-07-27,2022-08-08,0,12,Summer2022
13522,2022-06-21,19,5,546,1,2022-06-16,2022-06-21,0,5,Summer2022
38270,2022-06-21,15,5,1124,1,2022-07-13,2022-07-18,0,5,Summer2022
14930,2022-06-21,19,4,349,1,2022-08-03,2022-08-16,0,13,Summer2022
449,2022-06-21,13,4,273,1,2022-07-15,2022-07-26,0,11,Summer2022
7978,2022-06-21,22,6,864,1,2022-07-22,2022-08-01,0,10,Summer2022
77898,2022-06-21,16,6,636,2,2022-07-19,2022-08-01,0,13,Summer2022
82471,2022-06-21,19,4,193,1,2022-07-18,2022-07-26,0,8,Summer2022
40113,2022-06-21,19,6,559,1,2022-07-08,2022-07-21,0,13,Summer2022
90923,2022-06-21,20,4,479,1,2022-08-01,2022-08-11,0,10,Summer2022
49946,2022-06-22,18,6,955,1,2022-07-22,2022-07-27,0,5,Summer2022
34001,2022-06-22,15,6,1062,1,2022-07-25,2022-07-28,0,3,Summer2022
98227,2022-06-22,16,6,1193,2,2022-07-27,2022-08-08,0,12,Summer2022
34255,2022-06-22,15,4,486,1,2022-08-05,2022-08-19,0,14,Summer2022
46741,2022-06-22,22,4,379,1,2022-07-19,2022-07-25,0,6,Summer2022
25067,2022-06-22,14,6,1157,1,2022-08-05,2022-08-15,0,10,Summer2022
47914,2022-06-22,19,4,445,1,2022-07-14,2022-07-26,0,12,Summer2022
98181,2022-06-22,18,8,877,1,2022-07-25,2022-08-03,0,9,Summer2022
53741,2022-06-22,17,6,937,1,2022-07-27,2022-08-05,0,9,Summer2022
15065,2022-06-22,21,4,188,1,2022-07-25,2022-08-03,0,9,Summer2022
43988,2022-06-22,20,4,240,1,2022-07-11,2022-07-21,0,10,Summer2022
87825,2022-06-22,17,8,726,2,2022-08-05,2022-08-17,0,12,Summer2022
71554,2022-06-22,17,7,929,1,2022-07-19,2022-07-22,0,3,Summer2022
3157,2022-06-22,22,8,618,1,2022-07-29,2022-08-11,0,13,Summer2022
16895,2022-06-22,20,4,40,1,2022-08-05,2022-08-15,0,10,Summer2022
80131,2022-06-22,15,5,879,1,2022-08-03,2022-08-15,0,12,Summer2022
15802,2022-06-22,16,6,808,1,2022-07-26,2022-08-09,0,14,Summer2022
47353,2022-06-22,22,6,718,1,2022-06-23,2022-06-24,0,1,Summer2022
61447,2022-06-23,16,6,728,1,2022-07-26,2022-08-03,0,8,Summer2022
67957,2022-06-23,16,4,297,1,2022-07-22,2022-07-25,0,3,Summer2022
88670,2022-06-23,13,5,805,1,2022-07-25,2022-08-04,0,10,Summer2022
46721,2022-06-23,14,4,94,2,2022-07-14,2022-07-20,0,6,Summer2022
54,2022-06-23,14,4,209,1,2022-07-18,2022-07-26,0,8,Summer2022
39250,2022-06-23,16,5,670,1,2022-06-24,2022-07-08,0,14,Summer2022
19030,2022-06-23,21,5,754,1,2022-07-19,2022-07-20,0,1,Summer2022
55176,2022-06-23,19,7,606,1,2022-07-29,2022-08-04,0,6,Summer2022
30298,2022-06-23,17,4,2,1,2022-07-27,2022-08-02,0,6,Summer2022
98173,2022-06-23,21,4,479,1,2022-07-21,2022-07-25,0,4,Summer2022
45403,2022-06-23,18,8,617,1,2022-07-29,2022-08-01,0,3,Summer2022
78090,2022-06-23,17,4,423,1,2022-08-05,2022-08-15,0,10,Summer2022
46874,2022-06-23,17,4,121,1,2022-07-12,2022-07-18,0,6,Summer2022
5590,2022-06-23,17,4,247,2,2022-07-20,2022-07-22,0,2,Summer2022
28090,2022-06-23,20,8,726,1,2022-07-08,2022-07-18,0,10,Summer2022
42234,2022-06-23,17,8,663,1,2022-07-27,2022-08-04,0,8,Summer2022
52047,2022-06-23,17,8,555,2,2022-07-20,2022-08-02,0,13,Summer2022
41891,2022-06-23,18,6,790,1,2022-08-18,2022-08-19,0,1,Summer2022
85925,2022-06-24,18,6,907,1,2022-07-29,2022-08-05,0,7,Summer2022
12864,2022-06-24,15,6,1196,1,2022-07-14,2022-07-25,0,11,Summer2022
73849,2022-06-24,18,4,70,1,2022-07-20,2022-07-29,0,9,Summer2022
77741,2022-06-24,26,5,879,1,2022-07-18,2022-07-20,0,2,Summer2022
84612,2022-06-24,17,4,353,1,2022-07-27,2022-08-09,0,13,Summer2022
49256,2022-06-24,15,5,925,1,2022-07-29,2022-08-12,0,14,Summer2022
73272,2022-06-24,18,6,1171,1,2022-07-25,2022-08-04,0,10,Summer2022
69979,2022-06-24,22,6,671,1,2022-08-15,2022-08-22,0,7,Summer2022
19000,2022-06-24,20,6,923,2,2022-07-26,2022-08-03,0,8,Summer2022
551,2022-06-24,19,8,832,1,2022-08-09,2022-08-12,0,3,Summer2022
51057,2022-06-24,17,5,1042,2,2022-07-27,2022-08-05,0,9,Summer2022
34031,2022-06-24,20,5,628,2,2022-07-21,2022-08-02,0,12,Summer2022
11571,2022-06-24,17,5,603,1,2022-07-29,2022-08-03,0,5,Summer2022
46377,2022-06-24,18,6,1054,1,2022-07-12,2022-07-26,0,14,Summer2022
20590,2022-06-24,14,4,303,1,2022-07-28,2022-08-10,0,13,Summer2022
54899,2022-06-24,14,6,1075,1,2022-08-02,2022-08-08,0,6,Summer2022
23705,2022-06-24,18,6,706,1,2022-07-19,2022-07-27,0,8,Summer2022
59279,2022-06-25,24,4,269,2,2022-07-14,2022-07-20,0,6,Summer2022
77627,2022-06-25,15,6,1077,1,2022-07-12,2022-07-20,0,8,Summer2022
53896,2022-06-25,20,4,326,2,2022-07-14,2022-07-21,0,7,Summer2022
95889,2022-06-25,15,8,1027,1,2022-08-02,2022-08-10,0,8,Summer2022
45944,2022-06-25,17,5,1039,1,2022-06-27,2022-07-08,0,11,Summer2022
33458,2022-06-25,18,4,178,1,2022-08-03,2022-08-11,0,8,Summer2022
75530,2022-06-25,19,8,1119,1,2022-07-05,2022-07-18,0,13,Summer2022
28942,2022-06-25,16,8,1050,1,2022-07-20,2022-07-27,0,7,Summer2022
63877,2022-06-25,22,8,617,1,2022-07-18,2022-07-22,0,4,Summer2022
65412,2022-06-25,16,8,731,2,2022-07-06,2022-07-19,0,13,Summer2022
2811,2022-06-25,16,4,480,1,2022-08-11,2022-08-25,0,14,Summer2022
24535,2022-06-25,19,6,919,1,2022-07-13,2022-07-18,0,5,Summer2022
38411,2022-06-25,23,5,776,1,2022-07-27,2022-08-09,0,13,Summer2022
78117,2022-06-25,19,4,56,2,2022-07-22,2022-08-05,0,14,Summer2022
13460,2022-06-25,19,4,64,1,2022-08-01,2022-08-11,0,10,Summer2022
27405,2022-06-25,19,4,336,1,2022-07-06,2022-07-11,0,5,Summer2022
44307,2022-06-25,15,6,734,1,2022-07-21,2022-07-28,0,7,Summer2022
31312,2022-06-25,15,8,825,1,2022-07-29,2022-08-10,0,12,Summer2022
13408,2022-06-26,22,4,200,2,2022-08-02,2022-08-12,0,10,Summer2022
24906,2022-06-26,17,4,142,1,2022-07-26,2022-07-29,0,3,Summer2022
78375,2022-06-26,14,6,678,1,2022-08-09,2022-08-12,0,3,Summer2022
54868,2022-06-26,18,4,350,1,2022-07-22,2022-08-04,0,13,Summer2022
21010,2022-06-26,17,6,916,1,2022-07-12,2022-07-19,0,7,Summer2022
17419,2022-06-26,17,5,879,2,2022-07-25,2022-08-05,0,11,Summer2022
9233,2022-06-26,22,6,724,2,2022-07-27,2022-08-01,0,5,Summer2022
6259,2022-06-26,20,4,204,1,2022-08-05,2022-08-10,0,5,Summer2022
53261,2022-06-26,13,6,710,1,2022-07-14,2022-07-27,0,13,Summer2022
77535,2022-06-26,16,4,25,1,2022-07-29,2022-08-04,0,6,Summer2022
98740,2022-06-26,22,6,679,1,2022-08-05,2022-08-17,0,12,Summer2022
95834,2022-06-26,17,7,1012,1,2022-07-20,2022-08-03,0,14,Summer2022
44654,2022-06-26,21,4,334,1,2022-08-16,2022-08-29,0,13,Summer2022
60848,2022-06-26,15,6,822,1,2022-07-29,2022-08-04,0,6,Summer2022
56018,2022-06-26,14,5,985,2,2022-06-21,2022-06-26,0,5,Summer2022
84891,2022-06-26,20,4,36,1,2022-08-09,2022-08-17,0,8,Summer2022
31480,2022-06-26,21,4,319,1,2022-06-27,2022-07-06,0,9,Summer2022
30852,2022-06-26,22,4,362,1,2022-08-09,2022-08-18,0,9,Summer2022
7755,2022-06-26,19,4,147,1,2022-07-20,2022-08-01,0,12,Summer2022
76923,2022-06-26,18,6,1192,1,2022-07-13,2022-07-22,0,9,Summer2022
38706,2022-06-26,12,5,1168,1,2022-07-27,2022-08-03,0,7,Summer2022
26424,2022-06-27,18,6,496,1,2022-07-11,2022-07-13,0,2,Summer2022
1563,2022-06-27,17,4,315,2,2022-07-22,2022-07-29,0,7,Summer2022
76951,2022-06-27,19,8,873,1,2022-07-13,2022-07-15,0,2,Summer2022
17456,2022-06-27,19,8,1047,1,2022-07-27,2022-07-29,0,2,Summer2022
9403,2022-06-27,15,6,1014,1,2022-07-18,2022-07-28,0,10,Summer2022
3195,2022-06-27,20,6,519,2,2022-08-05,2022-08-11,0,6,Summer2022
64737,2022-06-27,18,8,708,1,2022-08-05,2022-08-09,0,4,Summer2022
86361,2022-06-27,17,4,286,1,2022-08-02,2022-08-12,0,10,Summer2022
62254,2022-06-27,16,5,848,1,2022-07-14,2022-07-20,0,6,Summer2022
34933,2022-06-27,15,5,1058,1,2022-07-25,2022-08-02,0,8,Summer2022
62956,2022-06-27,20,6,728,1,2022-07-27,2022-07-29,0,2,Summer2022
1944,2022-06-27,18,4,61,1,2022-07-27,2022-08-05,0,9,Summer2022
60898,2022-06-27,22,4,256,2,2022-07-25,2022-08-02,0,8,Summer2022
9795,2022-06-27,19,5,994,1,2022-08-12,2022-08-22,0,10,Summer2022
77085,2022-06-27,16,5,1172,1,2022-08-01,2022-08-10,0,9,Summer2022
9371,2022-06-27,23,8,643,1,2022-07-25,2022-08-01,0,7,Summer2022
3003,2022-06-27,19,4,158,1,2022-08-10,2022-08-24,0,14,Summer2022
86705,2022-06-27,20,5,1039,1,2022-07-25,2022-07-29,0,4,Summer2022
93538,2022-06-27,20,6,1205,1,2022-07-19,2022-07-22,0,3,Summer2022
67904,2022-06-28,21,4,446,2,2022-07-15,2022-07-19,0,4,Summer2022
63865,2022-06-28,13,4,251,1,2022-07-28,2022-07-29,0,1,Summer2022
66729,2022-06-28,15,8,778,1,2022-07-12,2022-07-13,0,1,Summer2022
40435,2022-06-28,18,8,813,2,2022-07-15,2022-07-29,0,14,Summer2022
84158,2022-06-28,22,4,411,2,2022-07-14,2022-07-18,0,4,Summer2022
66705,2022-06-28,20,5,1188,1,2022-08-15,2022-08-18,0,3,Summer2022
91355,2022-06-28,19,4,270,1,2022-08-10,2022-08-16,0,6,Summer2022
58194,2022-06-28,19,5,652,2,2022-08-08,2022-08-18,0,10,Summer2022
59205,2022-06-28,21,6,1074,2,2022-07-21,2022-07-28,0,7,Summer2022
5911,2022-06-28,18,5,835,1,2022-07-18,2022-07-29,0,11,Summer2022
58182,2022-06-28,19,4,412,1,2022-08-03,2022-08-17,0,14,Summer2022
22990,2022-06-28,18,5,903,1,2022-07-29,2022-08-08,0,10,Summer2022
46233,2022-06-28,21,4,449,1,2022-08-10,2022-08-19,0,9,Summer2022
52538,2022-06-28,17,6,1037,1,2022-07-25,2022-07-26,0,1,Summer2022
79909,2022-06-28,17,8,898,1,2022-07-27,2022-07-29,0,2,Summer2022
15916,2022-06-28,18,4,212,1,2022-07-21,2022-08-04,0,14,Summer2022
89801,2022-06-28,18,4,144,1,2022-07-22,2022-08-02,0,11,Summer2022
32694,2022-06-28,18,6,1134,1,2022-07-20,2022-07-25,0,5,Summer2022
51178,2022-06-28,19,6,1134,1,2022-08-08,2022-08-17,0,9,Summer2022
53888,2022-06-28,17,4,175,1,2022-07-06,2022-07-07,0,1,Summer2022
2036,2022-06-28,19,5,646,1,2022-07-29,2022-08-08,0,10,Summer2022
42505,2022-06-28,19,6,580,1,2022-07-21,2022-07-25,0,4,Summer2022
74058,2022-06-28,18,8,841,1,2022-07-18,2022-08-01,0,14,Summer2022
5815,2022-06-29,16,4,453,2,2022-08-03,2022-08-12,0,9,Summer2022
10000,2022-06-29,21,4,226,1,2022-07-22,2022-07-25,0,3,Summer2022
96177,2022-06-29,21,4,360,1,2022-07-20,2022-08-02,0,13,Summer2022
9143,2022-06-29,15,4,453,1,2022-06-28,2022-06-29,0,1,Summer2022
4308,2022-06-29,18,5,583,1,2022-08-02,2022-08-11,0,9,Summer2022
81020,2022-06-29,21,6,535,1,2022-07-27,2022-08-04,0,8,Summer2022
81865,2022-06-29,17,8,596,1,2022-07-25,2022-08-01,0,7,Summer2022
18997,2022-06-29,19,8,578,1,2022-07-29,2022-08-03,0,5,Summer2022
55263,2022-06-29,17,6,1104,1,2022-07-08,2022-07-18,0,10,Summer2022
87569,2022-06-29,17,6,930,1,2022-07-25,2022-08-08,0,14,Summer2022
74314,2022-06-29,22,4,195,2,2022-07-22,2022-08-02,0,11,Summer2022
12993,2022-06-29,21,8,713,1,2022-08-03,2022-08-17,0,14,Summer2022
69793,2022-06-29,19,8,847,1,2022-08-10,2022-08-16,0,6,Summer2022
2224,2022-06-29,19,6,1005,1,2022-07-25,2022-08-02,0,8,Summer2022
29350,2022-06-29,16,6,914,1,2022-07-29,2022-08-10,0,12,Summer2022
3009,2022-06-29,16,4,207,1,2022-08-05,2022-08-10,0,5,Summer2022
78747,2022-06-29,18,4,281,1,2022-07-25,2022-07-28,0,3,Summer2022
70832,2022-06-29,16,8,578,1,2022-07-15,2022-07-27,0,12,Summer2022
33177,2022-06-29,12,5,826,1,2022-08-17,2022-08-22,0,5,Summer2022
66,2022-06-30,22,8,692,1,2022-07-27,2022-08-02,0,6,Summer2022
19538,2022-06-30,21,4,236,1,2022-08-10,2022-08-23,0,13,Summer2022
14844,2022-06-30,22,8,1185,1,2022-08-03,2022-08-08,0,5,Summer2022
36877,2022-06-30,19,8,498,2,2022-08-01,2022-08-08,0,7,Summer2022
93458,2022-06-30,19,8,694,2,2022-07-21,2022-07-26,0,5,Summer2022
68726,2022-06-30,10,4,119,2,2022-07-26,2022-07-29,0,3,Summer2022
85704,2022-06-30,15,6,541,1,2022-07-21,2022-08-04,0,14,Summer2022
466,2022-06-30,20,8,595,1,2022-07-11,2022-07-25,0,14,Summer2022
14524,2022-06-30,21,4,145,1,2022-07-01,2022-07-08,0,7,Summer2022
84520,2022-06-30,12,4,484,1,2022-08-10,2022-08-18,0,8,Summer2022
29583,2022-06-30,17,6,586,1,2022-08-04,2022-08-08,0,4,Summer2022
22257,2022-06-30,19,4,301,1,2022-07-20,2022-07-26,0,6,Summer2022
74716,2022-06-30,20,4,454,1,2022-07-22,2022-07-25,0,3,Summer2022
13201,2022-06-30,22,4,237,1,2022-07-28,2022-08-11,0,14,Summer2022
53276,2022-06-30,19,8,601,1,2022-08-16,2022-08-23,0,7,Summer2022
37564,2022-06-30,18,4,222,1,2022-07-06,2022-07-13,0,7,Summer2022
12201,2022-07-01,13,6,1159,1,2022-07-29,2022-08-02,0,4,Summer2022
55759,2022-07-01,17,6,1006,1,2022-08-03,2022-08-04,0,1,Summer2022
79648,2022-07-01,14,4,299,1,2022-07-21,2022-08-01,0,11,Summer2022
8144,2022-07-01,19,4,130,1,2022-07-06,2022-07-19,0,13,Summer2022
85008,2022-07-01,14,5,996,1,2022-07-25,2022-07-28,0,3,Summer2022
38583,2022-07-01,20,4,414,1,2022-08-05,2022-08-12,0,7,Summer2022
68959,2022-07-01,17,4,269,1,2022-07-27,2022-08-08,0,12,Summer2022
31021,2022-07-01,15,6,871,1,2022-08-03,2022-08-09,0,6,Summer2022
30027,2022-07-01,17,5,920,1,2022-07-27,2022-08-05,0,9,Summer2022
31677,2022-07-01,9,8,881,1,2022-07-14,2022-07-20,0,6,Summer2022
98856,2022-07-01,20,4,179,1,2022-08-09,2022-08-18,0,9,Summer2022
93052,2022-07-01,16,4,383,1,2022-08-08,2022-08-12,0,4,Summer2022
34539,2022-07-01,17,6,605,1,2022-08-12,2022-08-17,0,5,Summer2022
