,SalesOrderCreationDate,OrderQuantity,PlantKey,CustomerKey,MaterialKey,RequestedDeliveryDate,DeliveryDate,HighOrderQtyFlag,Delay,Season,CustomerCountry,CustomerName
61945,2022-12-10,16,4,68,1,2023-01-03,2023-01-17,0,14,Autumn2022,Germany,Denesik-Lesch
41089,2022-12-10,20,6,580,1,2022-12-12,2022-12-15,0,3,Autumn2022,Croatia,Barrows Group
9904,2022-12-10,19,8,720,1,2023-01-02,2023-01-13,0,11,Autumn2022,Sweden,Dibbert-Lakin
65695,2022-12-10,20,4,1063,1,2023-01-13,2023-01-18,0,5,Autumn2022,Netherlands,Cummings-Shanahan
7845,2022-12-10,15,6,674,1,2023-01-02,2023-01-16,0,14,Autumn2022,France,"Mertz, Walsh and Strosin"
18780,2022-12-10,22,8,504,1,2023-01-17,2023-01-25,0,8,Autumn2022,Sweden,Pollich-Kuphal
6900,2022-12-10,20,6,534,2,2023-01-09,2023-01-19,0,10,Autumn2022,France,Mohr Inc
19900,2022-12-10,17,8,901,1,2023-01-18,2023-01-31,0,13,Autumn2022,Finland,"Beatty, Harber and Bode"
93290,2022-12-10,17,6,855,1,2023-01-04,2023-01-06,0,2,Autumn2022,France,"Raynor, Johnson and Collier"
71843,2022-12-10,18,4,144,1,2023-01-10,2023-01-16,0,6,Autumn2022,Germany,"Smith, King and Dach"
48329,2022-12-10,19,4,111,1,2022-12-29,2023-01-09,0,11,Autumn2022,Germany,"Jaskolski, Wiegand and Dickens"
83621,2022-12-10,18,6,1213,1,2023-01-06,2023-01-18,0,12,Autumn2022,Portugal,"Hahn, DuBuque and Lubowitz"
32865,2022-12-10,20,4,191,2,2023-01-02,2023-01-11,0,9,Autumn2022,Germany,O'Reilly Inc
74778,2022-12-10,19,8,795,1,2023-01-09,2023-01-13,0,4,Autumn2022,Norway,Cormier LLC
23381,2022-12-11,16,6,1104,1,2023-01-03,2023-01-09,0,6,Autumn2022,France,"Dickens, Aufderhar and Graham"
91251,2022-12-11,20,5,1057,1,2023-01-25,2023-02-07,0,13,Autumn2022,Poland,Nolan Inc
42374,2022-12-11,19,8,821,1,2023-01-03,2023-01-16,0,13,Autumn2022,Sweden,Cormier Group
48053,2022-12-11,14,8,663,1,2023-01-27,2023-02-06,0,10,Autumn2022,Norway,"Considine, Howell and Kihn"
54100,2022-12-11,23,5,1210,1,2023-01-02,2023-01-04,0,2,Autumn2022,Poland,Adams and Sons
78237,2022-12-11,20,6,907,1,2023-01-06,2023-01-17,0,11,Autumn2022,Portugal,"Cronin, Christiansen and Ledner"
17181,2022-12-11,17,5,1053,1,2022-12-14,2022-12-21,0,7,Autumn2022,Poland,"Fahey, Brakus and Runolfsson"
32298,2022-12-11,16,4,134,1,2023-01-03,2023-01-06,0,3,Autumn2022,Germany,"Erdman, Waters and Towne"
20717,2022-12-11,14,6,1115,2,2023-01-17,2023-01-23,0,6,Autumn2022,France,Nienow-Simonis
66325,2022-12-11,19,6,541,1,2022-12-29,2023-01-10,0,12,Autumn2022,Croatia,Stiedemann Inc
66268,2022-12-11,21,6,666,1,2022-12-28,2022-12-29,0,1,Autumn2022,France,Goldner-Hoeger
93132,2022-12-11,22,6,1198,1,2022-12-27,2022-12-29,0,2,Autumn2022,Italy,"Leannon, Mayert and Spencer"
49427,2022-12-11,19,8,493,1,2023-01-04,2023-01-16,0,12,Autumn2022,Sweden,"Roberts, Bergnaum and Metz"
15482,2022-12-11,17,4,250,1,2023-01-11,2023-01-23,0,12,Autumn2022,Germany,"Steuber, Terry and Okuneva"
69482,2022-12-11,19,4,193,1,2023-01-17,2023-01-19,0,2,Autumn2022,Germany,"Sawayn, Muller and O'Kon"
17575,2022-12-11,19,4,202,1,2022-12-28,2023-01-03,0,6,Autumn2022,Germany,Willms Group
2529,2022-12-11,22,4,56,1,2022-12-28,2023-01-03,0,6,Autumn2022,Germany,Batz Group
61759,2022-12-11,19,4,57,2,2023-02-03,2023-02-09,0,6,Autumn2022,Germany,Runte-Vandervort
84819,2022-12-11,21,4,237,1,2023-01-18,2023-01-30,0,12,Autumn2022,Germany,Thompson and Sons
34242,2022-12-12,21,6,535,1,2023-01-03,2023-01-09,0,6,Autumn2022,France,Ratke Inc
30470,2022-12-12,17,4,370,1,2022-12-28,2023-01-06,0,9,Autumn2022,Germany,"Hegmann, Upton and Batz"
776,2022-12-12,21,5,1208,1,2023-01-09,2023-01-20,0,11,Autumn2022,Greece,Tillman LLC
24852,2022-12-12,19,4,410,1,2023-01-20,2023-01-30,0,10,Autumn2022,Germany,Klocko and Sons
9850,2022-12-12,23,4,65,2,2023-01-11,2023-01-12,0,1,Autumn2022,Germany,Aufderhar Group
87585,2022-12-12,15,4,442,1,2023-01-09,2023-01-13,0,4,Autumn2022,Germany,"Jerde, Marquardt and Hamill"
59458,2022-12-12,17,5,1015,2,2022-12-29,2023-01-06,0,8,Autumn2022,Poland,"O'Reilly, Tillman and Bayer"
6837,2022-12-12,21,5,811,1,2023-01-31,2023-02-07,0,7,Autumn2022,Greece,Zboncak-Schaden
22208,2022-12-12,18,4,125,1,2023-01-09,2023-01-10,0,1,Autumn2022,Germany,Ward Group
51656,2022-12-12,19,4,462,2,2023-01-04,2023-01-10,0,6,Autumn2022,Germany,Treutel Inc
90040,2022-12-12,16,5,536,1,2023-01-12,2023-01-26,0,14,Autumn2022,Poland,Hilll Inc
91482,2022-12-12,16,8,711,1,2023-01-16,2023-01-19,0,3,Autumn2022,Sweden,"Greenfelder, Lesch and D'Amore"
75881,2022-12-12,18,4,6,1,2023-01-18,2023-01-24,0,6,Autumn2022,Germany,Pouros-Reinger
34619,2022-12-12,12,6,698,1,2023-01-05,2023-01-17,0,12,Autumn2022,France,Roberts Inc
83052,2022-12-12,17,8,737,1,2023-01-03,2023-01-06,0,3,Autumn2022,Lithuania,"Gutmann, Schulist and Ebert"
71764,2022-12-12,21,6,586,1,2023-01-13,2023-01-26,0,13,Autumn2022,France,"Pfannerstill, Blanda and Prohaska"
28340,2022-12-12,17,4,339,2,2023-01-09,2023-01-17,0,8,Autumn2022,Germany,Prohaska-Batz
26819,2022-12-12,19,4,389,1,2022-12-30,2023-01-09,0,10,Autumn2022,Germany,Dooley Inc
70518,2022-12-12,16,8,1222,1,2023-01-12,2023-01-17,0,5,Autumn2022,Sweden,Lehner LLC
92898,2022-12-13,17,4,162,2,2023-01-23,2023-02-03,0,11,Autumn2022,Belgium,Boehm Group
77768,2022-12-13,21,4,895,1,2023-01-13,2023-01-25,0,12,Autumn2022,Netherlands,"Dickinson, Grady and Marks"
31525,2022-12-13,18,6,918,2,2023-01-13,2023-01-24,0,11,Autumn2022,France,"Grady, Lemke and Kohler"
21795,2022-12-13,17,4,261,1,2023-01-04,2023-01-06,0,2,Autumn2022,Belgium,Boehm-Bayer
25902,2022-12-13,20,4,406,1,2023-01-09,2023-01-17,0,8,Autumn2022,Germany,Prohaska-Lemke
16546,2022-12-13,17,6,627,1,2023-01-13,2023-01-26,0,13,Autumn2022,France,Cremin-Lindgren
88426,2022-12-13,17,8,1056,1,2023-01-23,2023-02-06,0,14,Autumn2022,Sweden,Sawayn Group
99232,2022-12-13,15,4,215,1,2023-01-20,2023-01-31,0,11,Autumn2022,Germany,Morissette-Runolfsdottir
6373,2022-12-13,17,4,169,1,2023-01-20,2023-01-23,0,3,Autumn2022,Germany,"Rohan, Heathcote and Harber"
90841,2022-12-13,19,5,839,1,2023-01-20,2023-02-02,0,13,Autumn2022,Czech Republic,O'Conner-Lind
18795,2022-12-13,16,7,598,1,2023-01-05,2023-01-18,0,13,Autumn2022,United Kingdom,Hansen Inc
1024,2022-12-13,17,8,881,1,2023-01-23,2023-02-02,0,10,Autumn2022,Sweden,"Carroll, Durgan and Leuschke"
39787,2022-12-13,14,4,469,1,2023-01-12,2023-01-19,0,7,Autumn2022,Germany,Casper and Sons
43934,2022-12-13,20,4,397,1,2022-12-14,2022-12-28,0,14,Autumn2022,Germany,Baumbach-Schaefer
48086,2022-12-14,17,5,1069,1,2023-01-12,2023-01-25,0,13,Autumn2022,Czech Republic,"Quitzon, Lubowitz and Conn"
50366,2022-12-14,12,8,552,1,2023-01-09,2023-01-20,0,11,Autumn2022,Sweden,Mayer Group
20044,2022-12-14,19,6,1094,1,2022-12-30,2023-01-05,0,6,Autumn2022,Croatia,Kiehn Inc
37064,2022-12-14,20,5,794,1,2023-01-02,2023-01-03,0,1,Autumn2022,Greece,Rohan Inc
81611,2022-12-14,22,4,121,1,2023-01-17,2023-01-18,0,1,Autumn2022,Germany,Gleason Group
43293,2022-12-14,16,6,905,1,2023-01-04,2023-01-06,0,2,Autumn2022,France,Hermann LLC
75439,2022-12-14,15,4,267,1,2023-01-10,2023-01-17,0,7,Autumn2022,Germany,Johnson Inc
3352,2022-12-14,18,4,445,1,2022-12-27,2023-01-09,0,13,Autumn2022,Germany,West-VonRueden
67753,2022-12-14,17,5,500,2,2023-01-26,2023-01-30,0,4,Autumn2022,Czech Republic,Hahn Group
68720,2022-12-14,20,8,1110,2,2023-01-06,2023-01-20,0,14,Autumn2022,Sweden,Bergstrom-Wisoky
3076,2022-12-14,19,6,734,1,2023-01-23,2023-01-26,0,3,Autumn2022,France,Prosacco and Sons
82219,2022-12-14,16,8,726,1,2023-01-17,2023-01-30,0,13,Autumn2022,Sweden,Grady-Shanahan
65832,2022-12-14,12,6,1023,1,2023-01-24,2023-02-01,0,8,Autumn2022,France,Parker-Abernathy
71009,2022-12-14,22,6,822,1,2023-01-06,2023-01-11,0,5,Autumn2022,France,"Metz, Morar and Streich"
96830,2022-12-14,17,8,952,1,2023-01-10,2023-01-11,0,1,Autumn2022,Sweden,"Lowe, Kautzer and Romaguera"
11429,2022-12-14,20,4,97,1,2023-01-10,2023-01-24,0,14,Autumn2022,Belgium,Wisozk Group
37808,2022-12-14,13,6,1021,1,2023-01-25,2023-01-27,0,2,Autumn2022,Portugal,"Boyle, Rempel and Stehr"
81288,2022-12-14,14,4,273,1,2023-01-17,2023-01-27,0,10,Autumn2022,Germany,"Bednar, Rau and Frami"
71280,2022-12-14,15,5,1195,1,2023-01-06,2023-01-17,0,11,Autumn2022,Poland,"Prohaska, Jones and Hilpert"
47295,2022-12-14,18,8,663,1,2023-01-12,2023-01-18,0,6,Autumn2022,Norway,"Considine, Howell and Kihn"
11714,2022-12-15,17,6,636,2,2023-01-16,2023-01-23,0,7,Autumn2022,France,Howell-Keeling
77524,2022-12-15,17,5,1049,1,2023-02-01,2023-02-14,0,13,Autumn2022,Greece,"Walker, Wintheiser and Harvey"
55168,2022-12-15,19,8,578,1,2023-01-16,2023-01-20,0,4,Autumn2022,Sweden,Lemke Inc
40077,2022-12-15,20,4,725,1,2023-01-19,2023-01-31,0,12,Autumn2022,Netherlands,Murphy-Bruen
81271,2022-12-15,20,6,1126,1,2023-01-30,2023-02-13,0,14,Autumn2022,France,Kub Inc
81258,2022-12-15,21,8,609,1,2023-01-31,2023-02-14,0,14,Autumn2022,Sweden,Lowe Inc
83116,2022-12-15,15,4,73,2,2023-01-18,2023-01-25,0,7,Autumn2022,Germany,VonRueden LLC
66111,2022-12-15,16,4,130,1,2022-12-27,2023-01-03,0,7,Autumn2022,Germany,"Turcotte, Bruen and Jenkins"
32305,2022-12-15,18,5,685,1,2023-01-18,2023-01-30,0,12,Autumn2022,Czech Republic,Price Inc
358,2022-12-15,19,4,371,2,2023-01-02,2023-01-10,0,8,Autumn2022,Belgium,Gutmann-Braun
16697,2022-12-15,18,4,53,1,2023-01-12,2023-01-23,0,11,Autumn2022,Germany,Bailey Group
74388,2022-12-15,14,5,826,1,2023-01-09,2023-01-11,0,2,Autumn2022,Greece,Raynor-Lehner
76447,2022-12-15,18,8,601,1,2023-01-26,2023-01-27,0,1,Autumn2022,Estonia,"Hickle, Hayes and Mitchell"
33773,2022-12-15,15,4,349,1,2023-01-18,2023-01-27,0,9,Autumn2022,Germany,"Wisoky, Walter and Purdy"
96319,2022-12-15,18,4,236,1,2023-01-13,2023-01-27,0,14,Autumn2022,Belgium,"Keeling, Windler and Kohler"
47851,2022-12-15,18,6,1193,1,2023-01-19,2023-01-20,0,1,Autumn2022,Portugal,Bogisich and Sons
9308,2022-12-15,14,6,517,1,2023-01-16,2023-01-23,0,7,Autumn2022,France,"Willms, Lockman and Larkin"
94565,2022-12-15,13,5,1216,1,2023-01-12,2023-01-24,0,12,Autumn2022,Czech Republic,Rice LLC
74067,2022-12-16,22,8,896,1,2023-01-03,2023-01-09,0,6,Autumn2022,Estonia,Padberg-Rosenbaum
88615,2022-12-16,17,4,112,1,2023-01-25,2023-02-03,0,9,Autumn2022,Germany,Davis Inc
8668,2022-12-16,17,5,589,1,2022-12-19,2022-12-22,0,3,Autumn2022,Czech Republic,Sipes-Haag
76129,2022-12-16,17,8,928,1,2023-01-04,2023-01-13,0,9,Autumn2022,Sweden,O'Kon Group
2062,2022-12-16,17,6,967,2,2022-12-19,2022-12-29,0,10,Autumn2022,France,Kuhn Inc
70777,2022-12-16,14,4,425,1,2023-01-20,2023-01-31,0,11,Autumn2022,Germany,Harvey Group
23583,2022-12-16,20,4,9,1,2023-01-02,2023-01-12,0,10,Autumn2022,Germany,"Schulist, Green and Kessler"
81871,2022-12-16,17,4,155,2,2023-01-26,2023-01-31,0,5,Autumn2022,Germany,"Wolff, Friesen and Daugherty"
10592,2022-12-16,23,4,393,2,2023-01-13,2023-01-27,0,14,Autumn2022,Germany,"Hauck, Kovacek and Schuster"
27123,2022-12-16,17,4,473,1,2023-01-19,2023-01-30,0,11,Autumn2022,Belgium,Connelly LLC
6426,2022-12-16,23,4,345,1,2023-01-10,2023-01-19,0,9,Autumn2022,Germany,Borer Inc
36184,2022-12-16,20,4,39,1,2022-12-30,2023-01-06,0,7,Autumn2022,Germany,Hermiston Group
92266,2022-12-16,22,4,234,1,2023-01-18,2023-01-24,0,6,Autumn2022,Belgium,Lynch-McDermott
98085,2022-12-16,18,8,578,1,2023-01-02,2023-01-13,0,11,Autumn2022,Sweden,Lemke Inc
71964,2022-12-16,19,7,1112,1,2023-01-10,2023-01-12,0,2,Autumn2022,United Kingdom,"Rogahn, Wisoky and Larson"
48295,2022-12-16,22,4,341,1,2023-01-31,2023-02-09,0,9,Autumn2022,Germany,Blanda-Dicki
65201,2022-12-16,18,5,1139,2,2023-01-11,2023-01-20,0,9,Autumn2022,Poland,"Brakus, Hintz and Deckow"
13848,2022-12-16,20,8,897,1,2023-01-13,2023-01-17,0,4,Autumn2022,Sweden,Christiansen and Sons
43061,2022-12-16,10,5,546,1,2023-01-26,2023-02-06,0,11,Autumn2022,Poland,Larson LLC
18776,2022-12-16,22,5,563,1,2023-01-24,2023-02-03,0,10,Autumn2022,Czech Republic,"Murray, Lang and Jenkins"
87276,2022-12-16,22,4,38,1,2022-12-19,2022-12-20,0,1,Autumn2022,Germany,"Shields, Mitchell and Breitenberg"
41821,2022-12-16,20,8,570,1,2023-01-13,2023-01-16,0,3,Autumn2022,Sweden,"Zboncak, Baumbach and Kuphal"
54303,2022-12-16,18,8,682,1,2023-01-23,2023-02-02,0,10,Autumn2022,Finland,Muller Group
79841,2022-12-17,13,4,266,1,2023-01-25,2023-01-31,0,6,Autumn2022,Belgium,Spencer and Sons
99538,2022-12-17,20,4,869,1,2023-01-30,2023-02-08,0,9,Autumn2022,Netherlands,"Leannon, Lakin and Bogisich"
25855,2022-12-17,16,5,994,1,2023-01-23,2023-01-30,0,7,Autumn2022,Poland,Zboncak-Botsford
1345,2022-12-17,12,4,327,1,2023-01-05,2023-01-18,0,13,Autumn2022,Germany,Mann-Lowe
71181,2022-12-17,16,5,575,1,2023-01-12,2023-01-24,0,12,Autumn2022,Hungary,"Wyman, Hoppe and Jacobi"
57673,2022-12-17,15,8,1202,2,2023-01-26,2023-02-06,0,11,Autumn2022,Denmark,Pfeffer Inc
68467,2022-12-17,19,5,1002,1,2023-01-12,2023-01-20,0,8,Autumn2022,Poland,"Gerlach, Swift and Kub"
14810,2022-12-17,16,6,864,1,2023-02-07,2023-02-16,0,9,Autumn2022,Slovenia,Reichert Group
73837,2022-12-17,20,4,419,1,2023-01-20,2023-01-23,0,3,Autumn2022,Germany,Zieme-Hartmann
58569,2022-12-17,16,4,103,1,2023-01-11,2023-01-20,0,9,Autumn2022,Germany,Stracke-Dare
99432,2022-12-17,15,8,935,1,2023-01-16,2023-01-30,0,14,Autumn2022,Sweden,Howe-Dooley
310,2022-12-17,19,6,902,1,2023-01-24,2023-02-03,0,10,Autumn2022,France,Cartwright-Kutch
9566,2022-12-17,15,4,160,1,2023-01-20,2023-02-03,0,14,Autumn2022,Germany,"Kulas, Wisozk and Wiegand"
21712,2022-12-17,16,8,915,2,2023-01-02,2023-01-05,0,3,Autumn2022,Sweden,Schulist LLC
62049,2022-12-17,17,4,121,1,2023-01-11,2023-01-25,0,14,Autumn2022,Germany,Gleason Group
58936,2022-12-17,16,8,548,1,2023-01-13,2023-01-23,0,10,Autumn2022,Finland,"Predovic, Bernier and Gislason"
33885,2022-12-17,17,8,618,1,2023-01-13,2023-01-26,0,13,Autumn2022,Sweden,"Koss, Johnston and Kub"
85229,2022-12-17,15,4,352,1,2022-12-19,2022-12-23,0,4,Autumn2022,Germany,Schimmel-Nikolaus
80575,2022-12-17,17,6,755,1,2023-01-05,2023-01-09,0,4,Autumn2022,France,"Hauck, Vandervort and Hane"
80823,2022-12-17,15,6,698,1,2022-12-19,2022-12-27,0,8,Autumn2022,France,Roberts Inc
11064,2022-12-18,18,4,435,2,2023-01-05,2023-01-10,0,5,Autumn2022,Germany,Turcotte-Rolfson
17484,2022-12-18,9,4,392,1,2023-01-16,2023-01-26,0,10,Autumn2022,Germany,"Hansen, Zboncak and Hermiston"
53476,2022-12-18,18,6,600,1,2023-01-30,2023-02-09,0,10,Autumn2022,France,Stamm LLC
82607,2022-12-18,18,4,239,1,2023-01-23,2023-01-26,0,3,Autumn2022,Belgium,Daniel-Runolfsdottir
10579,2022-12-18,11,4,465,1,2023-01-23,2023-01-30,0,7,Autumn2022,Germany,"Tillman, Lindgren and Kohler"
63762,2022-12-18,22,4,169,1,2023-01-06,2023-01-09,0,3,Autumn2022,Germany,"Rohan, Heathcote and Harber"
78020,2022-12-18,15,6,1190,2,2023-01-12,2023-01-24,0,12,Autumn2022,Italy,"Nolan, Marks and Hagenes"
24455,2022-12-18,21,5,942,1,2023-01-12,2023-01-23,0,11,Autumn2022,Czech Republic,Ledner-Gerlach
10066,2022-12-18,15,4,225,1,2023-01-19,2023-01-27,0,8,Autumn2022,Germany,Leannon LLC
68642,2022-12-18,22,6,635,1,2023-01-24,2023-01-26,0,2,Autumn2022,France,Hettinger Group
84349,2022-12-18,17,4,35,2,2023-01-27,2023-02-09,0,13,Autumn2022,Germany,Walker-Deckow
38911,2022-12-18,15,4,356,1,2022-12-26,2022-12-29,0,3,Autumn2022,Germany,Monahan and Sons
93740,2022-12-18,14,4,6,2,2023-01-13,2023-01-25,0,12,Autumn2022,Germany,Pouros-Reinger
39850,2022-12-18,12,4,58,1,2023-01-06,2023-01-16,0,10,Autumn2022,Germany,Emard-Cronin
8244,2022-12-18,23,4,227,1,2023-01-20,2023-02-01,0,12,Autumn2022,Germany,Grant-Raynor
39860,2022-12-18,19,6,859,2,2023-01-05,2023-01-12,0,7,Autumn2022,France,Bartell-Bayer
71913,2022-12-18,14,4,13,1,2023-01-16,2023-01-23,0,7,Autumn2022,Germany,"Murray, Bahringer and Armstrong"
52465,2022-12-18,16,8,798,1,2023-02-02,2023-02-07,0,5,Autumn2022,Norway,Bergnaum-Bosco
95009,2022-12-18,20,4,484,2,2022-12-28,2022-12-29,0,1,Autumn2022,Belgium,"Hauck, Keebler and Pfeffer"
9817,2022-12-18,18,5,529,1,2023-01-16,2023-01-26,0,10,Autumn2022,Czech Republic,Walsh-Bergstrom
97536,2022-12-18,19,5,1121,1,2023-01-26,2023-02-08,0,13,Autumn2022,Greece,Parisian-Wiza
48518,2022-12-18,18,4,93,2,2022-12-19,2022-12-22,0,3,Autumn2022,Germany,Cartwright Inc
5514,2022-12-18,15,8,1110,1,2023-01-11,2023-01-23,0,12,Autumn2022,Sweden,Bergstrom-Wisoky
52278,2022-12-18,16,6,992,1,2022-12-27,2023-01-10,0,14,Autumn2022,Slovenia,Dooley-Kirlin
3904,2022-12-18,16,6,604,1,2023-01-19,2023-01-23,0,4,Autumn2022,France,Brakus and Sons
26490,2022-12-18,18,4,248,2,2023-01-25,2023-01-27,0,2,Autumn2022,Germany,Bechtelar-Grady
1792,2022-12-19,21,6,919,1,2023-01-13,2023-01-18,0,5,Autumn2022,France,Skiles-Kertzmann
27987,2022-12-19,16,5,688,1,2023-01-20,2023-01-26,0,6,Autumn2022,Czech Republic,Koss-Daniel
66760,2022-12-19,17,6,890,2,2023-01-19,2023-01-25,0,6,Autumn2022,Croatia,"Heathcote, Fahey and Beier"
59512,2022-12-19,20,5,1039,1,2022-12-28,2023-01-03,0,6,Autumn2022,Poland,Schinner-Lueilwitz
19949,2022-12-19,20,6,923,1,2023-01-30,2023-02-03,0,4,Autumn2022,Portugal,Olson Group
71521,2022-12-19,20,6,1089,1,2022-12-30,2023-01-09,0,10,Autumn2022,Portugal,Wyman-Hagenes
72491,2022-12-19,21,6,909,1,2023-01-27,2023-02-02,0,6,Autumn2022,Portugal,"Koepp, Pollich and Koss"
85493,2022-12-19,19,6,1097,1,2023-01-24,2023-02-03,0,10,Autumn2022,Portugal,Heller Group
4711,2022-12-19,15,6,990,2,2023-01-10,2023-01-12,0,2,Autumn2022,France,"Hintz, Tromp and Hilpert"
28913,2022-12-19,19,6,528,1,2023-01-16,2023-01-30,0,14,Autumn2022,France,Medhurst LLC
41527,2022-12-19,16,6,931,1,2023-01-13,2023-01-16,0,3,Autumn2022,France,Keeling-Cremin
97802,2022-12-19,18,6,1065,1,2023-01-31,2023-02-06,0,6,Autumn2022,France,Fritsch Group
43967,2022-12-19,17,6,709,1,2023-01-11,2023-01-12,0,1,Autumn2022,France,"Ziemann, Kiehn and Kovacek"
63736,2022-12-19,17,6,523,1,2023-01-12,2023-01-17,0,5,Autumn2022,Croatia,Donnelly Group
63079,2022-12-19,23,8,691,1,2023-01-13,2023-01-19,0,6,Autumn2022,Sweden,Balistreri-Nitzsche
46019,2022-12-19,19,4,139,2,2023-01-25,2023-01-27,0,2,Autumn2022,Germany,Bernhard-Bartell
44647,2022-12-20,12,4,281,1,2023-01-12,2023-01-13,0,1,Autumn2022,Germany,"Huel, Smitham and Schumm"
69188,2022-12-20,18,6,893,1,2023-01-31,2023-02-06,0,6,Autumn2022,Portugal,Hudson Group
62970,2022-12-20,14,4,287,2,2023-01-26,2023-02-08,0,13,Autumn2022,Germany,"Lowe, Moen and Schmeler"
45544,2022-12-20,15,4,123,1,2023-01-20,2023-01-23,0,3,Autumn2022,Germany,Wuckert-Cormier
9117,2022-12-20,18,4,16,1,2023-01-05,2023-01-10,0,5,Autumn2022,Germany,Kunze-Nikolaus
39203,2022-12-20,20,6,521,1,2023-01-27,2023-02-03,0,7,Autumn2022,Italy,"Purdy, Hermann and Macejkovic"
16162,2022-12-20,18,6,717,1,2023-01-30,2023-02-01,0,2,Autumn2022,Croatia,Luettgen Inc
76674,2022-12-20,18,8,1066,1,2022-12-14,2022-12-20,0,6,Autumn2022,Norway,"Bergnaum, Bauch and Runolfsdottir"
56595,2022-12-20,16,4,123,1,2022-12-21,2022-12-26,0,5,Autumn2022,Germany,Wuckert-Cormier
34878,2022-12-20,21,5,563,1,2023-01-06,2023-01-17,0,11,Autumn2022,Czech Republic,"Murray, Lang and Jenkins"
37259,2022-12-20,18,6,1122,1,2023-01-05,2023-01-12,0,7,Autumn2022,Portugal,"Farrell, Weimann and Predovic"
66552,2022-12-20,15,4,387,1,2023-01-27,2023-02-02,0,6,Autumn2022,Germany,"Corwin, Dickens and Klein"
98287,2022-12-20,20,6,990,1,2023-01-16,2023-01-20,0,4,Autumn2022,France,"Hintz, Tromp and Hilpert"
38926,2022-12-20,19,4,364,1,2023-01-13,2023-01-25,0,12,Autumn2022,Germany,"Hane, Lynch and Yundt"
44633,2022-12-20,19,6,883,2,2023-01-18,2023-01-20,0,2,Autumn2022,Spain,Farrell-Grady
88493,2022-12-20,21,6,689,1,2023-01-24,2023-02-06,0,13,Autumn2022,Italy,"Heidenreich, Miller and Brakus"
74986,2022-12-20,22,6,804,1,2023-01-02,2023-01-05,0,3,Autumn2022,France,Schultz Inc
22906,2022-12-20,18,8,561,1,2023-01-05,2023-01-16,0,11,Autumn2022,Sweden,Waters-Senger
36985,2022-12-20,18,4,1138,2,2023-01-19,2023-02-02,0,14,Autumn2022,Netherlands,Casper-Durgan
91008,2022-12-20,16,5,1128,1,2023-01-23,2023-01-27,0,4,Autumn2022,Czech Republic,"Bode, Ullrich and Gutmann"
69088,2022-12-20,18,4,359,1,2023-01-06,2023-01-11,0,5,Autumn2022,Germany,"Friesen, Barton and Runolfsdottir"
22772,2022-12-20,18,8,953,1,2023-01-17,2023-01-24,0,7,Autumn2022,Sweden,"Feest, Sauer and Jast"
92106,2022-12-20,21,8,850,1,2023-01-30,2023-02-02,0,3,Autumn2022,Sweden,Bradtke-Pagac
67429,2022-12-20,15,5,805,1,2023-01-16,2023-01-17,0,1,Autumn2022,Czech Republic,"Quigley, Torphy and Hills"
72190,2022-12-20,13,4,461,1,2023-01-11,2023-01-13,0,2,Autumn2022,Germany,West LLC
11937,2022-12-20,14,4,287,1,2023-01-13,2023-01-17,0,4,Autumn2022,Germany,"Lowe, Moen and Schmeler"
4621,2022-12-20,18,5,837,1,2023-01-06,2023-01-13,0,7,Autumn2022,Czech Republic,Williamson-Wilderman
71210,2022-12-20,19,4,86,1,2023-01-13,2023-01-16,0,3,Autumn2022,Belgium,"Hickle, Wehner and Schuster"
17972,2022-12-20,23,6,927,1,2023-01-19,2023-02-01,0,13,Autumn2022,Portugal,"Stoltenberg, Ziemann and Torphy"
72503,2022-12-21,18,4,59,1,2023-01-18,2023-01-19,0,1,Winter2022,Germany,"Douglas, Murazik and Zieme"
46214,2022-12-21,18,7,606,1,2023-01-30,2023-02-09,0,10,Winter2022,United Kingdom,Wolf Group
88599,2022-12-21,15,8,599,1,2023-01-25,2023-02-07,0,13,Winter2022,Denmark,McKenzie-Harber
61313,2022-12-21,19,5,1130,2,2023-01-24,2023-02-06,0,13,Winter2022,Greece,Bayer-Kozey
96084,2022-12-21,17,6,1096,2,2023-01-04,2023-01-10,0,6,Winter2022,Portugal,Stoltenberg Inc
46185,2022-12-21,17,6,700,1,2023-02-02,2023-02-06,0,4,Winter2022,France,"Johns, Kerluke and Botsford"
87659,2022-12-21,14,5,647,1,2023-01-24,2023-02-03,0,10,Winter2022,Czech Republic,Kautzer Group
54903,2022-12-21,15,4,141,1,2023-01-04,2023-01-17,0,13,Winter2022,Germany,Bayer-Nienow
75323,2022-12-21,16,4,95,1,2023-01-03,2023-01-04,0,1,Winter2022,Germany,Schuppe Inc
89563,2022-12-21,19,4,75,1,2023-01-16,2023-01-26,0,10,Winter2022,Germany,Rath and Sons
70825,2022-12-21,16,5,1113,1,2023-01-26,2023-01-31,0,5,Winter2022,Poland,Collins Group
65756,2022-12-21,22,8,675,1,2023-01-20,2023-02-02,0,13,Winter2022,Sweden,"Runolfsdottir, Harber and Windler"
21859,2022-12-21,23,6,919,1,2023-01-20,2023-01-30,0,10,Winter2022,France,Skiles-Kertzmann
40296,2022-12-21,15,8,1110,1,2023-02-07,2023-02-16,0,9,Winter2022,Sweden,Bergstrom-Wisoky
94881,2022-12-21,18,4,91,1,2023-01-27,2023-01-31,0,4,Winter2022,Germany,Cremin-Breitenberg
